                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8686,                 2.4449,                 1.5589,                0.41191,                0.37245,                0.33778,                0.13831,                 1.8495,                 1.9136,                 1.5102,               0.070366,              0.0032927,              0.0032927
                      1,                 1.7136,                  1.651,                 1.3977,                 0.4257,                 0.4477,                0.37052,                0.15505,                 1.7912,                 1.7831,                 1.4383,               0.040353,              0.0066129,              0.0066129
                      2,                 1.7293,                 1.6658,                 1.4167,                0.40259,                0.41518,                0.33081,                0.12732,                 1.9472,                 2.2127,                 1.5758,               0.010326,              0.0099199,              0.0099199
                      3,                 1.8342,                 1.7017,                 1.4583,                0.36395,                0.39303,                0.29479,                0.11807,                 2.0183,                 2.4093,                 1.6766,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.8394,                 1.6986,                 1.4903,                0.43417,                0.43686,                0.37288,                0.15181,                 1.9149,                  2.519,                 1.6163,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.8312,                 1.6759,                 1.4772,                0.42335,                0.36379,                 0.3221,                0.13329,                 1.9214,                 2.0076,                  1.613,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.8122,                 1.6321,                 1.4748,                0.44271,                0.45982,                0.38734,                0.16099,                 1.8834,                 1.8524,                 1.5343,               0.009901,               0.009901,               0.009901
                      7,                 1.7681,                 1.5855,                 1.4461,                 0.4051,                0.45217,                0.37843,                0.15427,                 1.9565,                 1.9428,                  1.552,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.7625,                 1.5669,                 1.4325,                0.46238,                 0.4761,                0.42122,                0.18417,                 1.8422,                 1.6996,                 1.5181,              0.0098614,              0.0098614,              0.0098614
                      9,                  1.726,                 1.5164,                 1.4175,                0.54019,                    0.5,                 0.4926,                0.21627,                 1.7581,                 1.6743,                 1.4516,              0.0098416,              0.0098416,              0.0098416
                     10,                  1.734,                 1.5148,                 1.4161,                0.59055,                0.45599,                0.49439,                0.22452,                 1.7719,                 1.5541,                 1.4745,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.7079,                 1.4621,                  1.406,                0.50774,                0.47577,                0.45561,                0.19909,                 1.8011,                 1.5983,                 1.4962,               0.009802,               0.009802,               0.009802
                     12,                  1.687,                 1.4406,                 1.3801,                0.57352,                0.48151,                0.51596,                0.23397,                 1.7417,                 1.4928,                 1.4278,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.6702,                 1.4198,                 1.3853,                0.53641,                0.50771,                0.50195,                 0.2332,                  1.736,                 1.5246,                 1.4232,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.6492,                 1.3972,                 1.3592,                0.52689,                0.47959,                0.46968,                0.21753,                 1.7697,                 1.5938,                 1.4436,              0.0097426,              0.0097426,              0.0097426
