date,close,volume,open,high,low,ticker
10/23/2024,230.76,52286980,234.08,235.144,227.76,AAPL
10/23/2024,424.6,19654380,430.855,431.08,422.53,MSFT
10/23/2024,139.56,285930000,142.03,142.43,137.46,NVDA
10/23/2024,563.69,14248420,579.97,585,562.5,META
10/23/2024,184.71,31937090,188.85,189.16,183.69,AMZN
10/22/2024,235.86,38846580,233.89,236.22,232.6,AAPL
10/21/2024,236.48,36254470,234.45,236.85,234.45,AAPL
10/22/2024,427.51,25482200,418.49,430.58,418.04,MSFT
10/21/2024,418.78,14206120,416.12,418.96,413.75,MSFT
10/22/2024,143.59,226311600,142.91,144.42,141.78,NVDA
10/21/2024,143.71,264554500,138.13,143.71,138,NVDA
10/22/2024,189.7,29650590,188.35,191.52,186.98,AMZN
10/21/2024,189.07,24639390,188.05,189.46,186.4,AMZN
10/22/2024,166.82,11958620,164.7,167.47,164.67,GOOG
10/21/2024,165.8,11384050,164.58,166.22,164.31,GOOG
10/22/2024,582.01,8544463,574.29,583.53,572.12,META
10/21/2024,575.16,8171879,576.03,577.24,569.11,META
10/22/2024,217.97,43268740,217.31,218.22,215.26,TSLA
10/21/2024,218.85,47328990,218.9,220.48,215.73,TSLA
10/18/2024,235,46431470,236.18,236.18,234.01,AAPL
10/17/2024,232.15,32993810,233.43,233.85,230.52,AAPL
10/16/2024,231.78,34082240,231.6,232.12,229.84,AAPL
10/15/2024,233.85,64751370,233.61,237.49,232.37,AAPL
10/14/2024,231.3,39882090,228.7,231.73,228.6,AAPL
10/18/2024,188.99,37417670,187.15,190.74,186.28,AMZN
10/17/2024,187.53,25039410,188.22,188.94,186,AMZN
10/16/2024,186.89,23456810,187.05,187.78,185.61,AMZN
10/15/2024,187.69,32178930,187.63,188.41,184.58,AMZN
10/14/2024,187.54,22614410,189.78,189.83,187.36,AMZN
10/18/2024,418.16,17145320,417.14,419.65,416.26,MSFT
10/17/2024,416.72,14820000,422.36,422.5,415.59,MSFT
10/16/2024,416.12,15508930,415.17,416.36,410.48,MSFT
10/15/2024,418.74,18900200,422.18,422.48,415.26,MSFT
10/14/2024,419.14,16653090,417.77,424.04,417.52,MSFT
10/18/2024,165.05,13091270,164.87,166.37,164.75,GOOG
10/17/2024,164.51,15113360,167.38,167.93,164.37,GOOG
10/16/2024,166.74,9968474,166.03,167.28,165.22,GOOG
10/15/2024,166.9,14829340,167.14,169.09,166.05,GOOG
10/14/2024,166.35,9981765,164.91,167.62,164.78,GOOG
10/18/2024,576.47,7694274,581.1,583.97,575.25,META
10/17/2024,576.93,8701158,583.33,584.97,575.2,META
10/16/2024,576.79,11268380,581.4,582.08,574.03,META
10/15/2024,586.27,9564236,590.16,590.61,580.14,META
10/14/2024,590.42,8251971,594.22,600.1,589.96,META
10/18/2024,220.7,49611870,220.71,222.28,219.23,TSLA
10/17/2024,220.89,50791780,221.59,222.08,217.9,TSLA
10/16/2024,221.33,49632820,221.4,222.82,218.93,TSLA
10/15/2024,219.57,62988790,220.01,224.26,217.12,TSLA
10/14/2024,219.16,86291920,220.13,221.91,213.74,TSLA
10/18/2024,138,176090200,138.67,138.9,137.28,NVDA
10/17/2024,136.93,306435900,139.34,140.89,136.87,NVDA
10/16/2024,135.72,264879700,133.98,136.62,131.58,NVDA
10/15/2024,131.6,377831000,137.87,138.57,128.74,NVDA
10/14/2024,138.07,232347700,136.47,139.6,136.3,NVDA
10/11/2024,227.55,31759190,229.3,229.41,227.34,AAPL
10/11/2024,188.82,25751560,186.63,189.93,186.3,AMZN
10/11/2024,416.32,14144940,416.14,417.13,413.25,MSFT
10/11/2024,164.52,10945970,163.33,165.27,162.5,GOOG
10/11/2024,589.95,8587051,584.83,591.21,582.71,META
10/11/2024,217.8,142628900,220.13,223.34,214.38,TSLA
10/11/2024,134.8,170209500,134.01,135.78,133.66,NVDA
10/10/2024,229.04,28183540,227.78,229.5,227.17,AAPL
10/10/2024,186.65,27785040,187.13,188.13,185.83,AMZN
10/10/2024,415.84,13848380,415.23,417.35,413.15,MSFT
10/10/2024,163.18,12900490,162.11,164.31,161.64,GOOG
10/10/2024,583.83,7740449,587.57,590.23,582.52,META
10/10/2024,238.77,83087060,241.81,242.79,232.34,TSLA
10/10/2024,134.81,242311300,131.91,135,131,NVDA
10/9/2024,229.54,33591090,225.23,229.75,224.83,AAPL
10/9/2024,185.17,26343120,182.82,185.85,182.05,AMZN
10/9/2024,417.46,14974260,415.86,420.38,414.3,MSFT
10/9/2024,163.06,19666410,164.86,166.26,161.12,GOOG
10/9/2024,590.51,9529707,593.99,594.39,581.61,META
10/9/2024,241.05,66289530,243.82,247.43,239.51,TSLA
10/9/2024,132.65,246191600,134.11,134.52,131.38,NVDA
10/8/2024,225.77,31855690,224.3,225.98,223.25,AAPL
10/8/2024,182.72,26372090,181.92,183.09,180.92,AMZN
10/8/2024,414.71,19229260,410.9,415.66,408.17,MSFT
10/8/2024,165.7,11723890,165.43,166.1,164.31,GOOG
10/8/2024,592.89,7857377,589.69,593.56,585.97,META
10/8/2024,244.5,56303160,243.56,246.21,240.56,TSLA
10/8/2024,132.89,285722500,130.26,133.48,129.42,NVDA
10/7/2024,221.69,39505350,224.5,225.69,221.33,AAPL
10/7/2024,180.8,42364200,182.95,183.6,180.25,AMZN
10/7/2024,409.54,20919760,416,417.11,409,MSFT
10/7/2024,164.39,14034720,169.14,169.9,164.13,GOOG
10/7/2024,584.78,12014200,598.22,602.95,584.04,META
10/7/2024,240.83,68113270,249,249.83,240.7,TSLA
10/7/2024,127.72,346250200,124.99,130.64,124.95,NVDA
10/4/2024,226.8,37345100,227.9,228,224.13,AAPL
10/4/2024,186.51,41079010,185.75,187.6,183.6,AMZN
10/4/2024,416.06,19190910,418.24,419.75,414.97,MSFT
10/4/2024,168.56,11435320,169.34,169.55,166.96,GOOG
10/4/2024,595.94,14199790,583.73,596.85,581.43,META
10/4/2024,250.08,86726290,246.69,250.96,244.58,TSLA
10/4/2024,124.92,244465600,124.94,125.04,121.83,NVDA
10/3/2024,225.67,34044160,225.14,226.81,223.32,AAPL
10/3/2024,181.96,30204300,183.05,183.44,180.88,AMZN
10/3/2024,416.54,13686420,417.63,419.55,414.29,MSFT
10/3/2024,167.21,11004330,165.82,167.91,165.37,GOOG
10/3/2024,582.77,11580980,570.15,583.36,568.73,META
10/3/2024,240.66,80729240,244.48,249.79,237.81,TSLA
10/3/2024,122.85,277118000,120.92,124.36,120.3401,NVDA
10/2/2024,226.78,32880610,225.89,227.37,223.02,AAPL
10/2/2024,184.76,23704060,184.44,186.6,184.04,AMZN
10/2/2024,417.13,16582260,422.58,422.82,416.71,MSFT
10/2/2024,167.31,12744980,167.76,168.88,166.25,GOOG
10/2/2024,572.81,6524650,574.86,576,569.34,META
10/2/2024,249.02,93983930,247.55,251.16,241.5,TSLA
10/2/2024,118.85,221845900,116.44,119.38,115.14,NVDA
10/1/2024,226.21,63285050,229.52,229.65,223.74,AAPL
10/1/2024,185.13,36044910,184.9,186.19,183.45,AMZN
